Muestra / ID,Valor Real (Shares),Pred. Lineal Multivariable,Pred. Polinómica,Pred. Ec. de la Normal
1,7500,1266.14,1466.48,661.93
2,441,2061.9,2117.97,2007.14
3,922,1910.39,1946.04,1501.29
4,473,1575.5,1452.42,1358.8
5,3200,3327.11,4367.48,3390.57
6,1600,918.72,1032.65,756.45
7,1300,5021.47,5255.37,5054.22
8,1300,1206.07,1370.46,880.27
9,5600,674.81,459.87,233.52
10,8100,2892.78,2973.14,2759.73
11,5500,1703.61,1834.72,1518.46
12,3800,5109.15,5147.02,5166.49
13,933,1117.8,1175.41,486.8
14,2500,1007.37,1101.39,554.22
15,1700,2552.94,2487.75,2388.96
16,2400,2939.05,2884.38,2506.65
17,11400,1641.04,1634.92,1438.52
18,308,2305.89,2697.25,2221.99
19,1400,4034.39,4145.95,3261.04
20,762,1806.69,2030.79,1730.17
21,1200,2162.69,1942.81,1697.01
22,657,1645.17,2028.52,1509.71
23,1200,2736.82,3199.95,2410.67
24,11800,1844.74,1652.61,910.1
25,2400,2024.0,2024.19,2038.13
26,794,1747.62,1835.8,1747.52
27,1500,2295.02,2070.87,2363.67
28,1300,1592.01,1820.04,1599.7
29,1200,2942.85,2917.62,2444.43
30,1900,2065.82,2149.64,1714.94
31,1500,1242.58,1679.6,1226.97
32,698,1290.15,1365.59,961.03
33,1100,4830.0,4475.69,4931.03
34,742,2008.02,2173.97,1582.75
35,2000,1679.58,2169.27,1300.68
36,1000,2495.39,2563.29,2020.64
37,1500,1854.08,2101.43,1807.59
38,1200,2263.13,2593.92,1582.41
39,751,3252.87,3479.2,3114.35
40,775,3271.59,3053.81,2635.93
41,569,2126.62,2263.93,1816.35
42,3000,4006.55,3810.29,3777.04
43,1500,1873.8,1882.74,1848.91
44,1100,3181.14,2939.26,3381.23
45,979,3475.56,3075.59,4125.45
46,802,3123.98,3394.31,3364.63
47,2300,1681.31,1749.5,1747.62
48,835,2160.38,2015.75,2122.91
49,2000,1635.96,1507.32,911.86
50,12000,4582.07,4145.58,4550.45
51,423,2088.58,2091.5,2113.51
52,1000,3119.43,3093.59,2635.9
53,1600,1732.74,1780.38,1418.05
54,1400,4841.08,5214.15,5100.51
55,2400,840.44,755.17,352.72
56,1200,2036.43,1980.1,1977.96
57,1500,2037.3,1957.08,2094.52
58,1400,2178.39,2091.95,2333.71
59,1000,1942.76,1832.93,1600.54
60,400,1603.72,1591.33,1528.44
61,1700,2076.06,2116.41,1826.48
62,3200,5850.38,6431.65,5695.26
63,1100,1538.44,1407.07,1611.95
64,4400,2390.54,2571.14,2145.08
65,1400,5077.42,5330.68,5277.59
66,924,2227.82,2117.34,1971.51
67,1900,2311.64,2287.27,1936.69
68,1300,2544.17,2567.24,2145.5
69,1300,1624.48,1831.09,1281.4
70,1800,2368.76,2319.44,2398.92
71,37400,4005.82,4062.25,4268.96
72,18000,2210.77,2451.69,1234.34
73,2500,2024.28,2317.93,1552.29
74,18200,3451.75,3703.13,3348.22
75,924,1330.08,1833.47,1144.09
76,730,1408.03,1394.19,1249.53
77,3500,1838.47,1824.15,1335.72
78,1900,2273.11,2252.37,2228.09
79,614,822.83,981.91,920.27
80,2900,1971.22,1836.12,1501.07
81,1600,1667.04,1640.07,1394.3
82,1100,2067.14,2298.71,1606.26
83,1100,1923.7,2137.24,1729.47
84,2200,4235.59,4216.6,3849.13
85,582,3695.32,3851.59,3795.56
86,1000,3765.01,3717.56,4210.59
87,1700,1205.69,1160.81,1152.65
88,720,1320.98,1389.78,1041.98
89,19800,4500.1,4196.07,4728.45
90,1500,2012.6,1813.6,1497.83
91,3000,2683.68,2574.61,2627.92
92,2500,2549.43,2409.92,2580.57
93,4400,5095.98,4809.19,4994.48
94,1400,2346.27,2514.71,2601.72
95,1600,3230.68,3158.56,3275.03
96,2100,2154.97,1751.41,1741.57
97,1100,2062.14,1961.6,1951.21
98,2100,3116.61,2905.79,3078.06
99,840,3442.13,3448.56,3240.37
100,1100,2196.27,2234.47,1991.43
